epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1868,1.3765,4.66464,1.00818,0.12868,0.34136,0.10695,0.06492,1.26291,3.63767,0.89601,6e-05,6e-05,6e-05
2,33.3757,1.20057,3.0955,0.93428,0.56685,0.66434,0.69613,0.5026,1.12911,1.90548,0.89147,0.000127855,0.000127855,0.000127855
3,42.8272,1.08696,1.80845,0.88606,0.60075,0.70335,0.7993,0.59193,1.0842,1.81704,0.89085,0.0001934,0.0001934,0.0001934
4,49.7572,1.12721,1.6155,0.90732,0.70878,0.86692,0.8747,0.60148,1.07884,1.29661,0.9043,0.000256635,0.000256635,0.000256635
5,58.1747,1.04839,1.34144,0.88772,0.89402,0.92041,0.95312,0.68964,1.05466,0.98651,0.88822,0.00031756,0.00031756,0.00031756
6,63.8566,1.10974,1.21684,0.92344,0.7982,0.932,0.92407,0.64042,1.11729,1.01364,0.8998,0.000376175,0.000376175,0.000376175
7,67.7207,1.04121,1.09999,0.88942,0.8772,0.90673,0.97415,0.70082,1.12,0.75495,0.90482,0.00043248,0.00043248,0.00043248
8,71.7754,1.1394,1.07919,0.91893,0.94236,0.9115,0.97023,0.70213,1.1002,0.71105,0.9118,0.000486475,0.000486475,0.000486475
9,77.9654,1.09177,0.9481,0.94122,0.8049,0.79753,0.90123,0.61656,1.15554,0.9385,0.91299,0.00053816,0.00053816,0.00053816
10,82.6675,1.09565,0.88625,0.90453,0.91932,0.91912,0.9786,0.7133,1.04842,0.75435,0.89812,0.000587535,0.000587535,0.000587535
11,86.4642,1.05435,0.8999,0.91055,0.90705,0.98358,0.97962,0.66829,1.18403,0.67077,0.92421,0.0006346,0.0006346,0.0006346
12,90.6461,1.0491,0.76665,0.90847,0.86983,0.87896,0.93132,0.66613,1.14034,0.7609,0.91499,0.000679355,0.000679355,0.000679355
13,97.0148,1.0646,0.81487,0.91057,0.91771,0.84158,0.96058,0.7002,1.08461,0.71072,0.89989,0.0007218,0.0007218,0.0007218
14,101.198,1.03975,0.79934,0.91866,0.89155,0.92187,0.97494,0.6951,1.13943,0.65358,0.92179,0.000761935,0.000761935,0.000761935
15,104.931,1.05745,0.76964,0.90816,0.88225,0.92565,0.95967,0.68636,1.10702,0.67522,0.90999,0.000769,0.000769,0.000769
16,109.603,1.02513,0.75662,0.91056,0.91152,0.79378,0.95216,0.66142,1.17047,0.82765,0.91867,0.0007525,0.0007525,0.0007525
